seed,sigma_min,sliced_wasserstein,final_training_loss
11,0.01,0.22165246307849884,6.739312281608582
22,0.01,0.11419523507356644,6.796902174949646
33,0.01,0.13615192472934723,6.790950245857239
11,0.1,0.2215929627418518,6.559663114547729
22,0.1,0.10082089900970459,6.613077058792114
33,0.1,0.12592092156410217,6.611878442764282
11,0.3,0.22676587104797363,6.205442504882813
22,0.3,0.10815104097127914,6.2550893926620486
33,0.3,0.13173344731330872,6.252791838645935
